#Word Types: 848
#Word Tokens: 1610415
#Search Hits: 0
1	38374	о#
2	30330	е#
3	30159	а#
4	29269	и#
5	26501	#н
6	25929	#с
7	23629	#в
8	22947	то
9	22499	#п
10	21934	#о
11	17960	я#
12	17851	#и
13	17474	на
14	17025	ь#
15	16312	ст
16	16016	не
17	15602	ал
18	15412	но
19	14519	#к
20	13493	он
21	13352	го
22	13092	по
23	12562	#т
24	12369	ка
25	12351	ко
26	12339	ла
27	12056	ни
28	11855	#д
29	11742	л#
30	11594	ов
31	11328	ен
32	11217	й#
33	11171	во
34	11140	м#
35	10860	#б
36	10796	ро
37	10705	у#
38	10695	ра
39	10276	#ч
40	10096	от
41	10077	ть
42	9894	пр
43	9300	ло
44	9213	ел
45	9210	ос
46	8906	#м
47	8849	н#
48	8706	ва
49	8677	за
50	8649	ор
51	8611	ол
52	8578	#е
53	8373	в#
54	8330	ли
55	8315	ле
56	8202	ре
57	8180	ер
58	7938	те
59	7909	та
60	7867	ск
61	7582	ом
62	7552	к#
63	7270	ви
64	7270	ог
65	7219	де
66	7193	чт
67	7094	ил
68	7061	се
69	7021	ет
70	7013	ри
71	6963	ан
72	6920	т#
73	6807	да
74	6747	аз
75	6743	ы#
76	6724	#у
77	6712	ве
78	6703	ак
79	6667	#з
80	6665	бы
81	6633	ат
82	6630	од
83	6562	же
84	6447	ин
85	6390	ем
86	6066	#р
87	6066	ит
88	5999	ти
89	5986	ес
90	5944	ег
91	5920	до
92	5806	#л
93	5603	ас
94	5564	вс
95	5543	ль
96	5485	ю#
97	5400	#г
98	5392	об
99	5308	че
100	5059	мо
101	5005	#а
102	4892	ав
103	4801	ся
104	4692	#э
105	4624	ме
106	4609	ой
107	4588	с#
108	4581	эт
109	4537	сь
110	4469	нн
111	4463	ки
112	4452	ны
113	4431	му
114	4426	им
115	4281	ив
116	4241	х#
117	4144	тв
118	4139	ми
119	4136	ыл
120	4069	#ж
121	3991	сл
122	3984	ей
123	3942	ну
124	3941	ое
125	3918	ев
126	3890	ма
127	3852	ед
128	3848	ая
129	3848	тр
130	3845	вы
131	3821	ам
132	3760	ие
133	3750	со
134	3630	ше
135	3616	#я
136	3616	ар
137	3615	ру
138	3562	хо
139	3538	ее
140	3529	ча
141	3503	ад
142	3278	пе
143	3255	ди
144	3250	ис
145	3234	бе
146	3144	бо
147	3063	зн
148	3058	ож
149	2970	ич
150	2909	ду
151	2893	св
152	2817	ек
153	2799	са
154	2783	уж
155	2781	ня
156	2780	#
157	2751	ля
158	2708	сп
159	2701	из
160	2666	ия
161	2546	оч
162	2476	ид
163	2466	ок
164	2465	ши
165	2456	#х
166	2428	ик
167	2425	уд
168	2416	гл
169	2413	дн
170	2398	др
171	2371	ты
172	2306	жи
173	2249	жа
174	2242	ку
175	2195	кр
176	2180	еп
177	2178	ят
178	2094	еб
179	2066	си
180	2051	ий
181	2051	чи
182	2051	ще
183	2043	их
184	2020	мн
185	2005	ош
186	2000	вн
187	1982	нь
188	1953	ры
189	1925	ьк
190	1901	ум
191	1877	лу
192	1868	гд
193	1864	ый
194	1851	ез
195	1840	ым
196	1837	ьн
197	1831	па
198	1830	ул
199	1825	ту
200	1811	ув
201	1795	аж
202	1772	лс
203	1736	вш
204	1720	оп
205	1719	бр
206	1677	ут
207	1665	тн
208	1660	вр
209	1616	нс
210	1602	лю
211	1600	з#
212	1582	жн
213	1581	ае
214	1575	уг
215	1570	оз
216	1559	бу
217	1535	ыв
218	1534	ус
219	1531	д#
220	1526	ую
221	1521	лы
222	1513	еш
223	1512	кс
224	1495	сн
225	1488	чу
226	1476	ые
227	1471	ша
228	1445	мы
229	1412	рь
230	1409	ря
231	1396	еч
232	1376	уч
233	1371	яс
234	1360	аю
235	1352	ба
236	1329	ьс
237	1318	ял
238	1315	ах
239	1310	см
240	1310	тс
241	1307	ою
242	1301	га
243	1298	ха
244	1283	еж
245	1271	иц
246	1270	дл
247	1259	дь
248	1256	ех
249	1253	зв
250	1238	ч#
251	1238	ых
252	1223	ач
253	1222	би
254	1220	бл
255	1216	жд
256	1215	дв
257	1213	ук
258	1212	вл
259	1210	пи
260	1193	зд
261	1190	ги
262	1178	ыс
263	1141	ои
264	1129	ыт
265	1117	уш
266	1113	#ш
267	1073	гр
268	1061	ву
269	1053	щи
270	1049	г#
271	1033	ян
272	1023	аш
273	1020	нд
274	1013	рн
275	1010	юб
276	1004	р#
277	998	це
278	980	ещ
279	980	кн
280	953	гу
281	933	аб
282	932	аг
283	912	ап
284	910	рк
285	884	уп
286	873	сс
287	871	яд
288	869	вз
289	864	ии
290	864	шл
291	846	зг
292	843	тя
293	840	ай
294	828	ур
295	820	бя
296	814	ды
297	812	уб
298	797	шь
299	795	ир
300	791	-т
301	791	су
302	790	пу
303	782	ке
304	776	оя
305	773	ье
306	767	зя
307	767	ыб
308	766	йс
309	760	чн
310	754	тк
311	744	ца
312	715	о-
313	713	рт
314	712	пл
315	679	сч
316	677	ыш
317	664	ьи
318	657	ею
319	657	ьш
320	643	дя
321	643	иг
322	638	нт
323	634	ья
324	622	иш
325	614	мя
326	613	ью
327	609	лж
328	606	иб
329	605	б#
330	588	кт
331	584	шн
332	570	зы
333	564	ея
334	561	рг
335	560	#ф
336	553	рд
337	553	шк
338	547	пя
339	543	зо
340	529	ын
341	529	ющ
342	522	ох
343	522	сы
344	521	сд
345	519	ге
346	508	вд
347	500	кл
348	499	дс
349	495	иж
350	495	ям
351	493	чк
352	484	бн
353	482	яз
354	470	рв
355	469	зи
356	467	рж
357	467	яж
358	464	лн
359	463	ща
360	460	яг
361	459	ух
362	459	фи
363	452	ж#
364	452	шу
365	451	лк
366	451	цо
367	451	ыр
368	447	тч
369	446	уз
370	444	шо
371	414	нч
372	411	зм
373	411	тл
374	408	зу
375	403	лл
376	402	вя
377	400	йн
378	398	бк
379	398	нк
380	396	уе
381	396	яв
382	393	пы
383	387	жу
384	386	ют
385	381	аф
386	379	#ц
387	378	нц
388	377	йт
389	374	юд
390	368	ию
391	353	бщ
392	350	вт
393	348	зе
394	340	рш
395	340	ьм
396	338	рб
397	334	ащ
398	333	йд
399	330	дк
400	329	цу
401	327	вп
402	326	ун
403	313	ящ
404	304	дт
405	299	ущ
406	297	вь
407	297	зр
408	293	оо
409	287	зл
410	287	ях
411	286	ео
412	281	дц
413	281	рс
414	272	ц#
415	271	гн
416	269	ьз
417	268	чш
418	267	ыч
419	259	кв
420	259	юс
421	257	зб
422	257	зь
423	257	чь
424	253	ню
425	251	нщ
426	245	ык
427	244	ец
428	235	вм
429	234	ищ
430	232	вк
431	231	-н
432	229	цы
433	227	ощ
434	223	фр
435	223	ху
436	219	ыд
437	215	ци
438	212	яя
439	210	е-
440	208	ип
441	204	сх
442	201	аи
443	198	ъе
444	195	сю
445	193	лч
446	193	уй
447	192	гк
448	192	оф
449	191	тд
450	191	яч
451	190	лг
452	190	яй
453	187	уя
454	187	ъя
455	185	ып
456	179	ац
457	178	рю
458	177	бъ
459	176	рм
460	176	ср
461	174	фе
462	172	зж
463	166	дш
464	165	#щ
465	165	як
466	164	мс
467	163	цк
468	159	хн
469	156	рх
470	156	хи
471	156	ьц
472	156	яю
473	155	еи
474	154	жс
475	153	хв
476	147	ыг
477	145	еу
478	145	жк
479	144	мл
480	140	бв
481	139	хл
482	139	щу
483	137	зк
484	136	йл
485	136	шв
486	130	ьб
487	127	вч
488	127	оц
489	126	нр
490	125	иа
491	125	фо
492	123	ио
493	120	тт
494	119	нг
495	118	йч
496	117	мр
497	115	бс
498	113	ьт
499	112	дм
500	104	йк
501	104	рч
502	104	шт
503	104	яе
504	103	дп
505	101	дх
506	101	з-
507	101	мь
508	101	тц
509	101	фа
510	100	ш#
511	98	чр
512	98	ыз
513	98	ьч
514	97	пн
515	96	бм
516	95	а-
517	95	дъ
518	95	пк
519	95	рп
520	91	яп
521	90	вх
522	90	зч
523	90	сш
524	90	хр
525	88	бх
526	87	м-
527	86	йм
528	85	-с
529	84	мк
530	82	у-
531	81	фь
532	80	сц
533	80	хм
534	79	мп
535	79	рл
536	78	сб
537	78	чо
538	78	яш
539	77	-з
540	77	йш
541	76	пт
542	75	оу
543	75	тп
544	75	ьг
545	73	-
546	72	зс
547	72	яр
548	71	-п
549	70	жб
550	69	чл
551	68	жь
552	68	тю
553	67	жч
554	67	йц
555	66	жо
556	65	лп
557	65	хс
558	62	ау
559	62	яи
560	61	гч
561	61	цв
562	60	п#
563	60	юч
564	59	дд
565	59	юр
566	58	эк
567	56	мм
568	56	тъ
569	56	эл
570	55	-ф
571	55	пь
572	55	юю
573	54	бд
574	53	хе
575	52	яц
576	51	еа
577	51	уа
578	50	пч
579	50	рщ
580	48	мг
581	48	ф#
582	46	вг
583	46	гс
584	44	щн
585	43	оэ
586	43	сж
587	43	ьд
588	42	дч
589	42	й-
590	42	к-
591	41	юш
592	40	#ю
593	40	ьв
594	40	юн
595	39	вц
596	39	лт
597	38	-к
598	38	фу
599	38	ыж
600	37	съ
601	37	яб
602	36	-в
603	36	вв
604	36	дб
605	36	пп
606	36	эн
607	35	рц
